sourceFile,trackName,region,distanceKm,ascentM,qualityScore,duplicateHint,bestRouteId,bestRouteName,matchScore,confidence,nearestDistanceKm,matchReasons,secondRouteId,secondRouteName,secondScore,suggestedAction,sourceAuthor,sourceLicense,reviewNotes
import-tools/raw/11.2龙门-般若苑-涌泉寺-鼓山古道.kml,11.2 龙门-般若苑-涌泉寺-鼓山古道,晋安区,8.96,564,95,,FZ003,晋安 鼓山登山道-涌泉寺登山线,78,高,1.74,轨迹距路线点约1.7km；名称命中：鼓山、涌泉寺；区域一致；距离接近；爬升接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,70,建议关联到现有路线，进入授权和实地复核,刘家有两千金,待确认,海拔低值可能有噪声；起终点名称与坐标需人工复核。
import-tools/raw/138·福清福川古道-福建榕树王-台岭村-西溪水库-福川古道圈越.kml,2025-11-25 12:16福州福清市,福清市,14.9,646,100,,FZ006,晋安 鼓山-鼓岭古道穿越,33,不建议关联,35.25,名称命中：古道；距离接近,FZ023,福清 石竹山登山道,18,建议新建候选路线或暂不关联,wuli自在行走的花,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-09-26仁洲村三叠井徒步圈越.kml,2025-09-26 仁洲村三叠井徒步圈越,福州周边,12.26,992,80,,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,不建议关联,29.34,距离接近；爬升接近,FZ006,晋安 鼓山-鼓岭古道穿越,13,建议新建候选路线或暂不关联,郑在爬,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,晋安区,6.75,679,100,,FZ031,晋安 状元岭古道-小北岭古道环线,94,高,0.14,路线点落在轨迹范围内；名称命中：状元岭、象峰；区域一致；距离可参考；爬升接近,FZ006,晋安 鼓山-鼓岭古道穿越,44,建议关联到现有路线，进入授权和实地复核,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-1209_17莆田瑞云山.kml,2025-10-12 09:17莆田瑞云山,福州周边,7.46,688,70,,FZ021,永泰 青云山瀑布步道,29,不建议关联,4.44,轨迹距路线点约4.4km；距离接近；爬升接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,13,跨区参考，不建议挂到现有福州线路,海狼王,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-12芦际潭森林公园圈越.kml,2025-10-12 芦际潭森林公园圈越,福州周边,10.87,628,80,,FZ016,长乐 猴屿洞天岩步道,30,不建议关联,4.91,轨迹距路线点约4.9km；区域一致；距离可参考,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,建议新建候选路线或暂不关联,山痴踏岳。,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2211_45五虎山圈越.kml,2025-11-22 11:45五虎山圈越,闽侯县,13.78,989,85,,FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,47,低,10.27,同大区域但相距约10.3km；名称命中：五虎山；区域一致；距离接近,FZ008,闽侯 五虎山-五灵岩寺往返,41,可能只是邻近路线，建议先放候选池,冰鳍,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！ (1).kml,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,10.89,955,80,保留优先,FZ031,晋安 状元岭古道-小北岭古道环线,90,高,0.54,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,40,建议关联到现有路线，进入授权和实地复核,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,10.89,955,80,疑似重复，建议与 2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！ 合并比较,FZ031,晋安 状元岭古道-小北岭古道环线,90,高,0.54,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,40,先合并重复轨迹，再决定是否关联,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2712_19福州白云洞至鼓山.kml,2025-11-2712_19福州白云洞至鼓山,晋安区,10.72,1002,95,,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,83,高,0.55,轨迹距路线点约0.5km；名称命中：鼓山、白云洞；区域一致；距离接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,73,建议关联到现有路线，进入授权和实地复核,,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-02马尾君山，阳光学院北门～小桂林～旺岐楼水库～夏岐水库～阳光学院北门！.kml,2025-12-02 马尾君山，阳光学院北门～小桂林～旺岐楼水库～上岐村水库～阳光学院北门！,马尾区,7.73,955,85,,FZ014,马尾 罗星塔-船政文化步道,42,低,1.04,轨迹距路线点约1.0km；区域一致；距离接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,21,可能只是邻近路线，建议先放候选池,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-05水项古道小圈越.kml,2025-12-05 水项古道小圈越,福州周边,12.71,1316,95,,FZ010,闽侯 旗山-万佛寺-博思软件园穿越,34,不建议关联,1.85,轨迹距路线点约1.8km；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,33,建议新建候选路线或暂不关联,郑在爬,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-06上德古道圈越.kml,2025-12-06 13:20福州马尾区,马尾区,5.7,469,85,,FZ014,马尾 罗星塔-船政文化步道,42,低,2.76,轨迹距路线点约2.8km；区域一致；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,31,可能只是邻近路线，建议先放候选池,米苏的户外迹忆,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-09福清南少林南岭古道-猛犸岩圈越.kml,2025-12-09 09:43福州福清市,福清市,16.82,1092,85,,FZ006,晋安 鼓山-鼓岭古道穿越,32,不建议关联,49.52,名称命中：古道；距离可参考；爬升接近,FZ023,福清 石竹山登山道,8,建议新建候选路线或暂不关联,山痴踏岳。,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-20罗源小笔架圈越.kml,2025-12-20 罗源小笔架圈越,罗源县,8.98,1230,85,,FZ018,连江 奇达旗冠顶看海线,12,不建议关联,8.44,同大区域但相距约8.4km；距离可参考,FZ030,罗源 罗源湾滨海观景步道,12,建议新建候选路线或暂不关联,第九十九步贤,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-2109_21福清南岭古道.kml,2025-12-21 09:21福清南岭古道,福清市,8.31,415,85,,FZ006,晋安 鼓山-鼓岭古道穿越,23,不建议关联,50.36,名称命中：古道,FZ024,福清 大姆山草场环线,21,建议新建候选路线或暂不关联,燕与希,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-2714_07_12福清灵石山森林公园.kml,2025-12-27 14:07:12,福州周边,11.94,759,95,,FZ024,福清 大姆山草场环线,14,不建议关联,10.29,同大区域但相距约10.3km；距离可参考,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,建议新建候选路线或暂不关联,zs_5765202,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-28长乐风洞山.kml,2025-12-28 长乐风洞山,长乐区,4.87,388,85,,FZ016,长乐 猴屿洞天岩步道,17,不建议关联,21.27,区域一致；距离可参考；爬升接近,FZ015,长乐 下沙海岸线,12,建议新建候选路线或暂不关联,月胖🕊️,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-03鼓山情人谷圈越.kml,2026-01-03鼓山情人谷圈越,晋安区,5.85,627,100,,FZ003,晋安 鼓山登山道-涌泉寺登山线,74,高,0.83,轨迹距路线点约0.8km；名称命中：鼓山；区域一致；距离可参考；爬升接近,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,62,建议关联到现有路线，进入授权和实地复核,福州山喵户外-老蔡蔡不是老菜菜,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-1010_12福州闽侯县五奇仙君殿.kml,2026-01-10 10:12福州闽侯县五奇仙君殿,永泰县,9.6,906,85,,FZ026,闽侯 雪峰山寺周边步道,44,低,2.44,轨迹距路线点约2.4km；区域一致；距离接近,FZ008,闽侯 五虎山-五灵岩寺往返,18,可能只是邻近路线，建议先放候选池,福田83,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-1012_43福州福清市龙凤古道圈越.kml,2026-01-10 12:43福州福清市龙凤古道圈越,福清市,11.55,667,100,,FZ006,晋安 鼓山-鼓岭古道穿越,33,不建议关联,40.51,名称命中：古道；距离接近,FZ024,福清 大姆山草场环线,21,建议新建候选路线或暂不关联,中草药,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-17康坂溪右支(康右)+地下河.kml,2026-01-17 康坂溪右支(康右)+地下河,福州周边,10.63,714,80,,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,29,不建议关联,3.6,轨迹距路线点约3.6km；距离接近；爬升接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,29,建议新建候选路线或暂不关联,第九十九步贤,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-02-0211_24龙凤古驿道.kml,2026-02-02 11:24龙凤古驿道,福州周边,11.12,704,95,,FZ024,福清 大姆山草场环线,18,不建议关联,21.14,区域一致；距离接近,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,建议新建候选路线或暂不关联,语过添理,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/9.7状元岭古道-小北岭古道.kml,9.7状元岭古道-小北岭古道,晋安区,9.12,560,95,,FZ031,晋安 状元岭古道-小北岭古道环线,98,高,0.0,路线点落在轨迹范围内；名称命中：状元岭、小北岭；区域一致；距离接近；爬升接近,FZ006,晋安 鼓山-鼓岭古道穿越,45,建议关联到现有路线，进入授权和实地复核,刘家有两千金,待确认,海拔低值可能有噪声；起终点名称与坐标需人工复核。
import-tools/raw/万石村-永泰天门山圈越.kml,2026-01-02 09:27:33,福州周边,9.61,1243,75,,FZ021,永泰 青云山瀑布步道,43,低,5.09,轨迹距路线点约5.1km；名称命中：永泰；距离可参考,FZ020,永泰 云顶溪谷避暑线,35,可能只是邻近路线，建议先放候选池,酱油橘子,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/东湖尖.kml,东湖尖,永泰县,7.95,1178,85,,FZ021,永泰 青云山瀑布步道,16,不建议关联,39.09,区域一致；距离接近,FZ020,永泰 云顶溪谷避暑线,14,建议新建候选路线或暂不关联,二十五呀,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/仁宅登山道-鸾峰寺-旗山顶圈越.kml,仁宅登山道-鸾峰寺-旗山顶圈越,闽侯县,9.3,1106,85,,FZ010,闽侯 旗山-万佛寺-博思软件园穿越,67,中,1.99,轨迹距路线点约2.0km；名称命中：旗山；区域一致；距离接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,27,可作为同路线候选轨迹，需人工比对轨迹走向,小条条,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/升山寺-湖顶山-福州国家森林公园.kml,升山寺-湖顶山-福州国家森林公园,福州周边,10.04,967,95,,FZ031,晋安 状元岭古道-小北岭古道环线,26,不建议关联,4.19,轨迹距路线点约4.2km；距离接近,FZ013,鼓楼 西湖-左海-梅峰山城市绿道,20,建议新建候选路线或暂不关联,小条条,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/平潭大练岛.kml,平潭大练岛,平潭县,13.98,457,100,,FZ032,平潭 大练岛环线,94,高,0.0,路线点落在轨迹范围内；名称命中：大练岛；区域一致；距离接近；爬升接近,FZ019,平潭 北部湾生态廊道,39,建议关联到现有路线，进入授权和实地复核,旅行者99,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/樟林古道-柳杉王公园-鼓岭古道.kml,樟林古道-柳杉王公园-鼓岭古道,晋安区,12.61,1280,85,,FZ006,晋安 鼓山-鼓岭古道穿越,65,中,4.74,轨迹距路线点约4.7km；名称命中：鼓岭、古道；区域一致；距离接近,FZ007,晋安 鼓岭柳杉王公园-鼓岭栈道步道,55,可作为同路线候选轨迹，需人工比对轨迹走向,小条条,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/水项古道→旗山森林公园.kml,水项古道→旗山森林公园,闽侯县,22.48,1874,85,,FZ010,闽侯 旗山-万佛寺-博思软件园穿越,57,中,1.81,轨迹距路线点约1.8km；名称命中：旗山；区域一致,FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,24,可作为同路线候选轨迹，需人工比对轨迹走向,双杖同行,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/永泰横串古道2025-11-29.kml,永泰横串古道2025-11-29,永泰县,12.48,1256,100,,FZ020,永泰 云顶溪谷避暑线,39,低,22.86,名称命中：永泰；区域一致；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,33,可能只是邻近路线，建议先放候选池,湖山超越,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/漈上-横串古村-横串古道-漈上（6km）圈樾.kml,漈上-横串古村-横串古道-漈上（6km）圈樾,福州周边,5.96,343,80,,FZ006,晋安 鼓山-鼓岭古道穿越,23,不建议关联,38.08,名称命中：古道,FZ027,闽侯 十八重溪休闲步道,16,建议新建候选路线或暂不关联,蓝猫,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/猛犸岩+南岭古道（圈越）.kml,猛犸岩+南岭古道（圈越）,福州周边,17.23,1000,80,,FZ006,晋安 鼓山-鼓岭古道穿越,32,不建议关联,49.51,名称命中：古道；距离可参考；爬升接近,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,9,建议新建候选路线或暂不关联,️云在青山,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/白云洞积翠庵圈越.kml,白云洞积翠庵圈越,福州周边,5.91,779,95,,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,62,中,0.28,轨迹距路线点约0.3km；名称命中：白云洞；爬升接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,40,可作为同路线候选轨迹，需人工比对轨迹走向,冲电宝大壮爱爬山,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/磨溪→绝顶峰→鼓山.kml,磨溪→绝顶峰→鼓山,晋安区,9.87,809,100,,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,70,中,2.04,轨迹距路线点约2.0km；名称命中：鼓山；区域一致；距离接近；爬升接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,70,可作为同路线候选轨迹，需人工比对轨迹走向,老林努力中,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/福州长乐龙潭晓瀑六平山2025-12-2710_11_33.kml,福州长乐龙潭晓瀑六平山2025-12-27 10:11:33,长乐区,13.16,753,85,,FZ016,长乐 猴屿洞天岩步道,36,低,2.42,轨迹距路线点约2.4km；区域一致,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,可能只是邻近路线，建议先放候选池,Nio_CC,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/福州闽候五虎山五虎圈越.kml,福州闽候五虎山五虎圈越,闽侯县,15.6,1636,85,,FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,43,低,9.79,同大区域但相距约9.8km；名称命中：五虎山；区域一致；距离可参考,FZ008,闽侯 五虎山-五灵岩寺往返,39,可能只是邻近路线，建议先放候选池,喜家乐,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/福清大化山圈越.kml,福清大化山圈越,福清市,11.42,1064,100,,FZ024,福清 大姆山草场环线,16,不建议关联,22.42,区域一致；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,13,建议新建候选路线或暂不关联,不知果冻,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/罗源凤凰山圈越.kml,罗源凤凰山圈越,罗源县,11.2,715,100,,FZ030,罗源 罗源湾滨海观景步道,16,不建议关联,10.59,同大区域但相距约10.6km；区域一致,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,建议新建候选路线或暂不关联,正好%（福州逆旅户外）,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/罗源县仙茅山～飞鸾岭古道.kml,罗源县仙茅山～飞鸾岭古道,罗源县,14.18,1134,85,,FZ006,晋安 鼓山-鼓岭古道穿越,36,低,44.71,名称命中：古道；距离接近；爬升接近,FZ030,罗源 罗源湾滨海观景步道,24,可能只是邻近路线，建议先放候选池,龙山线路,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/莲花峰→鳝溪古道圈越（不建议反穿）.kml,莲花峰-鳝溪古道圈越,福州周边,7.64,1009,95,,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,44,低,0.66,轨迹距路线点约0.7km；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,44,可能只是邻近路线，建议先放候选池,💥遇见陌生🎇,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/蛇山古道-恩顶村-竹园岭古道.kml,蛇山古道-恩顶村-竹园岭古道,福州周边,8.54,804,80,,FZ006,晋安 鼓山-鼓岭古道穿越,44,低,5.84,轨迹距路线点约5.8km；名称命中：古道；爬升接近,FZ031,晋安 状元岭古道-小北岭古道环线,36,可能只是邻近路线，建议先放候选池,小条条,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/马尾君山小桂林.kml,2025-10-03 13:54:47,福州周边,7.25,748,80,,FZ014,马尾 罗星塔-船政文化步道,34,不建议关联,1.05,轨迹距路线点约1.0km；距离接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,18,建议新建候选路线或暂不关联,小条条,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/鳝溪古道-樟林古道.kml,鳝溪古道-樟林古道,福州周边,8.94,857,95,,FZ006,晋安 鼓山-鼓岭古道穿越,48,低,5.05,轨迹距路线点约5.1km；名称命中：古道；距离可参考；爬升接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,47,可能只是邻近路线，建议先放候选池,xwlkin,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/龙凤古道.kml,龙凤古道,福州周边,12.22,867,80,,FZ006,晋安 鼓山-鼓岭古道穿越,36,低,41.09,名称命中：古道；距离接近；爬升接近,FZ024,福清 大姆山草场环线,14,可能只是邻近路线，建议先放候选池,麦芒_LBL8254007,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/（指路版）连江王庄村—睡狐狸—老虎厝.kml,（指路版）连江王庄村—睡狐狸—老虎厝,连江县,6.81,239,100,,FZ028,连江 定海湾海岸观景线,24,不建议关联,9.24,同大区域但相距约9.2km；区域一致；距离接近,FZ018,连江 奇达旗冠顶看海线,18,建议新建候选路线或暂不关联,如意自在,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/（指路版）闽侯鸿尾举口村—畲家厝—穆源溪瀑布.kml,（指路版）闽侯鸿尾举口村—畲家厝—穆源溪瀑布,永泰县,6.84,491,100,,FZ021,永泰 青云山瀑布步道,44,低,34.41,名称命中：瀑布；区域一致；距离接近；爬升接近,FZ022,永泰 嵩口古镇田园步道,16,可能只是邻近路线，建议先放候选池,如意自在,待确认,需人工复核起终点、停车、开放状态和风险点。
