id,name,region,difficulty,publicStatus,routeStatus,reviewLevel,reviewScore,blockers,startPointCheck,endPointCheck,parkingCheck,publicTransitCheck,toiletCheck,supplyCheck,exitPointsCheck,seasonCheck,riskCheck,locationCheck,trackCheck,licenseCheck,nextAction
FZ001,鼓楼 福道精华步道,鼓楼区,轻松,可内测,资料已整理,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ002,鼓楼 福山-福道-冶山城市山线,鼓楼区,轻松,可内测,候选待复核,待补全,58,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,已完成,已完成,补齐阻塞字段后再评估
FZ003,晋安 鼓山登山道-涌泉寺登山线,晋安区,中等,可内测,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,晋安区,较难,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,晋安区,较难,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ006,晋安 鼓山-鼓岭古道穿越,晋安区,较难,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ007,晋安 鼓岭柳杉王公园-鼓岭栈道步道,晋安区,轻松,可内测,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ008,闽侯 五虎山-五灵岩寺往返,闽侯县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,闽侯县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,闽侯县/高新区,中等,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ011,晋安 金鸡山公园环线,晋安区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ012,鼓楼 于山-乌山-三坊七巷城市山线,鼓楼区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ013,鼓楼 西湖-左海-梅峰山城市绿道,鼓楼区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ014,马尾 罗星塔-船政文化步道,马尾区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ015,长乐 下沙海岸线,长乐区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ016,长乐 猴屿洞天岩步道,长乐区,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ017,连江 黄岐古石村海岸线,连江县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ018,连江 奇达旗冠顶看海线,连江县,中等,可内测,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ019,平潭 北部湾生态廊道,平潭县,轻松,可内测,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ020,永泰 云顶溪谷避暑线,永泰县,较难,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ021,永泰 青云山瀑布步道,永泰县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ022,永泰 嵩口古镇田园步道,永泰县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ023,福清 石竹山登山道,福清市,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ024,福清 大姆山草场环线,福清市,中等,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ025,福清 目屿岛海岸步道,福清市,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ026,闽侯 雪峰山寺周边步道,闽侯县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ027,闽侯 十八重溪休闲步道,闽侯县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ028,连江 定海湾海岸观景线,连江县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ029,平潭 坛南湾海岸漫步线,平潭县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ030,罗源 罗源湾滨海观景步道,罗源县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ031,晋安 状元岭古道-小北岭古道环线,晋安区,中等,可公开,资料已整理,可公开,92,无,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,可安排公开前终审
FZ032,平潭 大练岛环线,平潭县,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ033,晋安 龙门-般若苑-涌泉寺-鼓山古道,晋安区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ034,福清 福川古道-榕树王-台岭村-西溪水库环线,福清市,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ035,闽侯 仁洲村-三叠井圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ036,晋安 状元岭古道-状元坊-象峰古道环线,晋安区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ037,晋安 白云洞-涌泉寺-鼓山十八景穿越,晋安区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ038,鼓楼 福道7号口往返线,福州周边,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ039,长乐 芦际潭森林公园圈越,福州周边,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ040,晋安 鼓岭古道-映月湖-柱里-柳杉王公园穿越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ041,晋安 鼓山勇敢者登山道-涌泉寺登山线,晋安区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ042,闽侯 五虎山圈越,闽侯县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ043,福州 贡院岭古道-鹅鼻岭-泉头古道环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ044,晋安 白云洞-鼓山穿越,晋安区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ045,马尾 君山小桂林-旺岐楼水库环线,马尾区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ046,闽侯 水项古道小圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ047,马尾 上德古道圈越,马尾区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ048,福清 南少林-南岭古道-猛犸岩圈越,福清市,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ049,罗源 小笔架圈越,罗源县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ050,福清 南岭古道环线,福清市,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ051,福清 灵石山森林公园环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ052,长乐 风洞山环线,长乐区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ053,晋安 鼓山情人谷圈越,晋安区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ054,永泰 望仙谷-五奇仙君殿圈越,永泰县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ055,福清 龙凤古道圈越,福清市,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ056,福州 康坂溪右支-地下河穿越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ057,福清 龙凤古驿道环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ058,鼓楼 福道5号口-3号口穿越,福州周边,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ059,闽侯 旗山万佛寺-棋盘石-旗山顶环线,闽侯县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ060,福清 大姆山草场-旗山-崩山小圈,福清市,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ061,晋安 状元岭古道-小北岭古道环线,晋安区,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ062,永泰 万石村-天门山圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ063,永泰 东湖尖环线,永泰县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ064,闽侯 五虎山农家乐-五灵岩寺-回头虎圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ065,闽侯 仁宅登山道-鸾峰寺-旗山顶圈越,闽侯县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ066,晋安 升山寺-湖顶山-福州国家森林公园环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ067,平潭 大练岛环线,平潭县,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ068,晋安 樟林古道-柳杉王公园-鼓岭古道环线,晋安区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ069,闽侯 水项古道-旗山森林公园长线,闽侯县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ070,永泰 横串古道环线,永泰县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ071,永泰 漈上-横串古村-横串古道小环线,福州周边,轻松,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ072,福清 猛犸岩-南岭古道圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ073,晋安 白云洞-积翠庵圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ074,晋安 磨溪-绝顶峰-鼓山穿越,晋安区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ075,晋安 白云洞-鼓山穿越线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ076,长乐 龙潭晓瀑-六平山穿越,长乐区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ077,闽侯 五虎山五虎圈越,闽侯县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ078,福清 大化山圈越,福清市,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ079,罗源 凤凰山圈越,罗源县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ080,罗源 仙茅山-飞鸾岭古道环线,罗源县,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ081,晋安 莲花峰-鳝溪古道圈越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ082,晋安 蛇山古道-恩顶村-竹园岭古道环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ083,马尾 君山小桂林环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ084,晋安 鳝溪古道-樟林古道穿越,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ085,晋安 鼓岭古道-牛头寨-柱里公园-鼓山穿越,晋安区,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ086,福清 龙凤古道环线,福州周边,较难,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ087,连江 王庄村-睡狐狸-老虎厝环线,连江县,轻松,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ088,闽侯 鸿尾举口村-畲家厝-穆源溪瀑布环线,永泰县,中等,待复核,轨迹导入待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
